0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;8;15;144;1;0;0;1;704;36;1;0;0;0;0;0;2;1;0;0;0;0;37;6;0;4;37;24;0;0;0;0
1;1;2;0;0;0;0;2;3;21;0;0;0;0;126;9;0;0;0;0;0;0;1;0;0;0;0;0;9;1;0;0;9;2;0;0;0;0
1;0;4;0;0;0;0;1;2;10;0;0;0;0;68;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0
1;1;2;0;0;0;0;0;4;12;0;0;0;0;64;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;1;0;0;0;0
1;0;2;0;0;0;0;3;5;59;0;0;0;0;342;18;1;0;0;0;0;0;0;0;0;0;0;0;27;6;0;0;27;4;0;0;0;0
1;0;2;0;0;0;0;24;19;60;1;0;0;0;611;11;7;0;0;0;0;0;2;0;0;1;0;0;18;1;0;0;18;9;0;0;0;0
1;0;2;0;0;0;0;15;4;61;0;0;0;0;294;18;0;0;0;0;0;0;1;0;0;0;0;0;22;3;0;0;22;9;0;0;0;0
1;1;0;0;0;0;0;10;4;28;0;0;0;0;227;5;2;0;0;0;1;0;1;0;0;1;0;0;10;1;0;0;10;4;0;0;0;0
1;1;1;0;0;0;0;2;5;45;0;0;0;0;310;12;1;0;0;0;0;0;0;0;0;0;0;0;12;1;0;1;12;6;0;0;0;0
1;0;2;0;0;0;0;2;7;61;1;0;0;0;300;21;2;0;0;0;0;0;2;0;0;0;0;0;31;3;0;0;31;7;0;0;0;0
0;1;2;0;0;0;0;3;4;31;0;0;0;0;129;6;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;6;4;0;0;0;0
1;0;0;0;0;0;0;0;2;14;0;0;0;0;65;4;1;0;0;0;0;0;2;0;0;0;0;0;5;1;0;0;5;1;0;0;0;0
1;0;0;0;0;0;0;31;47;354;3;0;0;0;2108;113;12;0;0;0;0;0;5;0;0;0;0;0;115;26;0;3;115;55;0;0;0;0
1;0;0;0;0;0;0;13;25;130;0;0;0;1;722;46;6;0;0;0;0;0;1;0;0;0;0;0;44;10;0;0;44;13;0;0;0;0
1;1;2;0;0;0;0;2;5;42;0;0;0;0;199;12;3;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;16;9;0;0;0;0
